2020:-12-21 22:51:31 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - register message{"regLogin":"Dsads","regPassword":1600}
2020:-12-21 23:29:32 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Dd","password":1514400515}
2020:-12-21 23:29:33 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Dd","password":1514400515}
2020:-12-21 23:29:39 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ds","password":1514400515}
2020:-12-21 23:37:55 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsad","password":3711}
2020:-12-21 23:55:06 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddddd","password":95430531}
2020:-12-21 23:55:56 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:11 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:21 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:26 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:31 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:33 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:36 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
2020:-12-21 23:56:37 [AWT-EventQueue-0] INFO  com.solvd.automation.lab.fall.util.ServerConnection - logIn message{"login":"Ddsdas","password":-994707545}
